Number of outliers: 1604
id,time,values
1,2023:02:06 16:14:38,4.2
4,2023:02:06 16:14:38,582.5
5,2023:02:06 16:14:38,588.7
3,2023:02:06 16:21:18,571.6
5,2023:02:06 16:24:38,597.1
1,2023:02:06 16:37:58,556.4
5,2023:02:06 16:37:58,574.1
1,2023:02:06 16:47:58,587.1
4,2023:02:06 17:27:58,573.1
5,2023:02:06 17:27:58,576.4
1,2023:02:06 17:31:18,587.3
2,2023:02:06 17:34:38,551.2
4,2023:02:06 17:34:38,552.7
5,2023:02:06 17:34:38,591.5
3,2023:02:06 17:37:58,593.6
3,2023:02:06 17:44:38,571.5
5,2023:02:06 17:44:38,561.6
1,2023:02:06 17:54:38,2.5
2,2023:02:06 18:01:18,4.5
1,2023:02:06 18:31:18,551.4
5,2023:02:06 18:44:38,573.5
5,2023:02:06 18:54:38,551.3
1,2023:02:06 19:04:38,555.7
1,2023:02:06 19:07:58,586.6
4,2023:02:06 19:14:38,584.1
3,2023:02:06 19:21:18,586.7
3,2023:02:06 19:44:38,591.7
4,2023:02:06 20:04:38,586.5
3,2023:02:06 20:41:18,583.4
2,2023:02:06 21:04:38,551.1
3,2023:02:06 21:04:38,592.0
4,2023:02:06 21:24:38,579.7
1,2023:02:06 21:27:58,570.2
4,2023:02:06 21:27:58,576.4
1,2023:02:06 21:34:38,571.6
2,2023:02:06 21:34:38,556.3
1,2023:02:06 21:37:58,559.5
1,2023:02:06 21:41:18,584.7
2,2023:02:06 21:47:58,557.7
2,2023:02:06 22:04:38,552.5
5,2023:02:06 22:11:18,584.2
5,2023:02:06 23:37:58,588.1
5,2023:02:06 23:54:38,555.1
3,2023:02:07 00:01:18,557.6
1,2023:02:07 00:04:38,573.5
1,2023:02:07 00:07:58,561.2
3,2023:02:07 00:11:18,555.0
2,2023:02:07 00:37:58,570.2
4,2023:02:07 00:37:58,552.4
2,2023:02:07 00:41:18,579.7
3,2023:02:07 00:41:18,1.4
2,2023:02:07 00:44:38,589.7
4,2023:02:07 00:44:38,576.7
2,2023:02:07 00:47:58,566.1
2,2023:02:07 01:11:18,585.1
2,2023:02:07 01:17:58,553.7
4,2023:02:07 01:21:18,584.8
