id,time,values
1,2023:02:06 16:14:38,4.2
2,2023:02:06 16:14:38,438.3
3,2023:02:06 16:14:38,541.6
4,2023:02:06 16:14:38,582.5
5,2023:02:06 16:14:38,588.7
1,2023:02:06 16:17:58,406.3
2,2023:02:06 16:17:58,223.5
3,2023:02:06 16:17:58,491.8
4,2023:02:06 16:17:58,386.5
5,2023:02:06 16:17:58,223.3
1,2023:02:06 16:21:18,127.1
2,2023:02:06 16:21:18,446.7
3,2023:02:06 16:21:18,571.6
4,2023:02:06 16:21:18,40.1
5,2023:02:06 16:21:18,459.4
1,2023:02:06 16:24:38,398.7
2,2023:02:06 16:24:38,406.8
3,2023:02:06 16:24:38,63.8
4,2023:02:06 16:24:38,341.1
5,2023:02:06 16:24:38,597.1
1,2023:02:06 16:27:58,200.1
2,2023:02:06 16:27:58,460.1
3,2023:02:06 16:27:58,539.7
4,2023:02:06 16:27:58,371.3
5,2023:02:06 16:27:58,506.0
1,2023:02:06 16:31:18,535.3
2,2023:02:06 16:31:18,392.4
3,2023:02:06 16:31:18,76.4
4,2023:02:06 16:31:18,158.4
5,2023:02:06 16:31:18,221.1
1,2023:02:06 16:34:38,409.3
2,2023:02:06 16:34:38,30.0
3,2023:02:06 16:34:38,69.1
4,2023:02:06 16:34:38,23.6
5,2023:02:06 16:34:38,249.6
1,2023:02:06 16:37:58,556.4
2,2023:02:06 16:37:58,363.2
3,2023:02:06 16:37:58,403.3
4,2023:02:06 16:37:58,182.4
5,2023:02:06 16:37:58,574.1
1,2023:02:06 16:41:18,321.4
2,2023:02:06 16:41:18,465.5
3,2023:02:06 16:41:18,18.8
4,2023:02:06 16:41:18,334.4
5,2023:02:06 16:41:18,243.2
1,2023:02:06 16:44:38,79.2
2,2023:02:06 16:44:38,131.2
3,2023:02:06 16:44:38,540.7
4,2023:02:06 16:44:38,120.7
5,2023:02:06 16:44:38,430.0
1,2023:02:06 16:47:58,587.1
2,2023:02:06 16:47:58,499.0
3,2023:02:06 16:47:58,53.3
4,2023:02:06 16:47:58,547.4
5,2023:02:06 16:47:58,217.8
1,2023:02:06 16:51:18,537.3
2,2023:02:06 16:51:18,417.7
3,2023:02:06 16:51:18,127.4
4,2023:02:06 16:51:18,470.5
5,2023:02:06 16:51:18,219.1
1,2023:02:06 16:54:38,42.6
2,2023:02:06 16:54:38,150.3
3,2023:02:06 16:54:38,352.3
4,2023:02:06 16:54:38,376.2
5,2023:02:06 16:54:38,327.2
1,2023:02:06 16:57:58,428.3
2,2023:02:06 16:57:58,131.0
3,2023:02:06 16:57:58,417.3
4,2023:02:06 16:57:58,252.1
5,2023:02:06 16:57:58,547.7
1,2023:02:06 17:01:18,531.3
2,2023:02:06 17:01:18,391.2
3,2023:02:06 17:01:18,18.4
4,2023:02:06 17:01:18,503.6
5,2023:02:06 17:01:18,275.1
1,2023:02:06 17:04:38,485.8
2,2023:02:06 17:04:38,44.2
3,2023:02:06 17:04:38,370.7
4,2023:02:06 17:04:38,25.6
5,2023:02:06 17:04:38,9.4
1,2023:02:06 17:07:58,106.8
2,2023:02:06 17:07:58,304.0
3,2023:02:06 17:07:58,487.5
4,2023:02:06 17:07:58,23.6
5,2023:02:06 17:07:58,26.2
1,2023:02:06 17:11:18,525.6
2,2023:02:06 17:11:18,12.4
3,2023:02:06 17:11:18,79.6
4,2023:02:06 17:11:18,26.8
5,2023:02:06 17:11:18,177.8
1,2023:02:06 17:14:38,153.4
2,2023:02:06 17:14:38,402.4
3,2023:02:06 17:14:38,520.1
4,2023:02:06 17:14:38,115.3
5,2023:02:06 17:14:38,101.8
1,2023:02:06 17:17:58,97.4
2,2023:02:06 17:17:58,418.4
3,2023:02:06 17:17:58,211.4
4,2023:02:06 17:17:58,425.7
5,2023:02:06 17:17:58,86.0
1,2023:02:06 17:21:18,350.3
2,2023:02:06 17:21:18,407.6
3,2023:02:06 17:21:18,436.8
4,2023:02:06 17:21:18,504.8
5,2023:02:06 17:21:18,27.1
1,2023:02:06 17:24:38,407.7
2,2023:02:06 17:24:38,521.0
3,2023:02:06 17:24:38,299.2
4,2023:02:06 17:24:38,382.6
5,2023:02:06 17:24:38,193.7
1,2023:02:06 17:27:58,356.6
2,2023:02:06 17:27:58,182.4
3,2023:02:06 17:27:58,166.8
4,2023:02:06 17:27:58,573.1
5,2023:02:06 17:27:58,576.4
1,2023:02:06 17:31:18,587.3
2,2023:02:06 17:31:18,376.2
3,2023:02:06 17:31:18,354.2
4,2023:02:06 17:31:18,548.2
5,2023:02:06 17:31:18,83.1
1,2023:02:06 17:34:38,412.3
2,2023:02:06 17:34:38,551.2
3,2023:02:06 17:34:38,153.8
4,2023:02:06 17:34:38,552.7
5,2023:02:06 17:34:38,591.5
1,2023:02:06 17:37:58,19.8
2,2023:02:06 17:37:58,126.1
3,2023:02:06 17:37:58,593.6
4,2023:02:06 17:37:58,167.6
5,2023:02:06 17:37:58,150.4
1,2023:02:06 17:41:18,397.4
2,2023:02:06 17:41:18,169.6
3,2023:02:06 17:41:18,337.3
4,2023:02:06 17:41:18,198.6
5,2023:02:06 17:41:18,315.3
1,2023:02:06 17:44:38,224.6
2,2023:02:06 17:44:38,486.0
3,2023:02:06 17:44:38,571.5
4,2023:02:06 17:44:38,60.2
5,2023:02:06 17:44:38,561.6
1,2023:02:06 17:47:58,281.6
2,2023:02:06 17:47:58,74.0
3,2023:02:06 17:47:58,148.4
4,2023:02:06 17:47:58,314.3
5,2023:02:06 17:47:58,379.2
1,2023:02:06 17:51:18,238.1
2,2023:02:06 17:51:18,239.1
3,2023:02:06 17:51:18,287.3
4,2023:02:06 17:51:18,440.2
5,2023:02:06 17:51:18,506.4
1,2023:02:06 17:54:38,2.5
2,2023:02:06 17:54:38,119.5
3,2023:02:06 17:54:38,400.6
4,2023:02:06 17:54:38,97.0
5,2023:02:06 17:54:38,303.6
1,2023:02:06 17:57:58,509.6
2,2023:02:06 17:57:58,39.0
3,2023:02:06 17:57:58,182.4
4,2023:02:06 17:57:58,349.5
5,2023:02:06 17:57:58,312.7
1,2023:02:06 18:01:18,44.4
2,2023:02:06 18:01:18,4.5
3,2023:02:06 18:01:18,286.3
4,2023:02:06 18:01:18,220.2
5,2023:02:06 18:01:18,310.6
1,2023:02:06 18:04:38,320.6
2,2023:02:06 18:04:38,31.2
3,2023:02:06 18:04:38,247.2
4,2023:02:06 18:04:38,514.4
5,2023:02:06 18:04:38,98.1
1,2023:02:06 18:07:58,548.0
2,2023:02:06 18:07:58,437.2
3,2023:02:06 18:07:58,54.1
4,2023:02:06 18:07:58,263.6
5,2023:02:06 18:07:58,218.8
1,2023:02:06 18:11:18,213.1
2,2023:02:06 18:11:18,178.5
3,2023:02:06 18:11:18,418.3
4,2023:02:06 18:11:18,378.3
5,2023:02:06 18:11:18,33.6
1,2023:02:06 18:14:38,241.6
2,2023:02:06 18:14:38,110.2
3,2023:02:06 18:14:38,428.3
4,2023:02:06 18:14:38,306.0
5,2023:02:06 18:14:38,469.5
1,2023:02:06 18:17:58,477.0
2,2023:02:06 18:17:58,482.4
3,2023:02:06 18:17:58,201.2
4,2023:02:06 18:17:58,32.7
5,2023:02:06 18:17:58,277.7
1,2023:02:06 18:21:18,505.0
2,2023:02:06 18:21:18,55.0
3,2023:02:06 18:21:18,476.8
4,2023:02:06 18:21:18,86.1
5,2023:02:06 18:21:18,420.8
1,2023:02:06 18:24:38,246.7
2,2023:02:06 18:24:38,547.5
3,2023:02:06 18:24:38,389.1
4,2023:02:06 18:24:38,137.7
5,2023:02:06 18:24:38,350.0
1,2023:02:06 18:27:58,479.7
2,2023:02:06 18:27:58,444.2
3,2023:02:06 18:27:58,225.1
4,2023:02:06 18:27:58,481.3
5,2023:02:06 18:27:58,156.8
1,2023:02:06 18:31:18,551.4
2,2023:02:06 18:31:18,324.1
3,2023:02:06 18:31:18,103.3
4,2023:02:06 18:31:18,378.2
5,2023:02:06 18:31:18,249.4
1,2023:02:06 18:34:38,243.4
2,2023:02:06 18:34:38,227.8
3,2023:02:06 18:34:38,316.2
4,2023:02:06 18:34:38,5.0
5,2023:02:06 18:34:38,236.0
1,2023:02:06 18:37:58,348.7
2,2023:02:06 18:37:58,179.7
3,2023:02:06 18:37:58,309.8
4,2023:02:06 18:37:58,522.8
5,2023:02:06 18:37:58,205.2
1,2023:02:06 18:41:18,355.8
2,2023:02:06 18:41:18,254.7
3,2023:02:06 18:41:18,515.2
4,2023:02:06 18:41:18,69.7
5,2023:02:06 18:41:18,268.4
1,2023:02:06 18:44:38,386.1
2,2023:02:06 18:44:38,208.2
3,2023:02:06 18:44:38,400.4
4,2023:02:06 18:44:38,546.4
5,2023:02:06 18:44:38,573.5
1,2023:02:06 18:47:58,263.5
2,2023:02:06 18:47:58,28.7
3,2023:02:06 18:47:58,470.6
4,2023:02:06 18:47:58,17.7
5,2023:02:06 18:47:58,12.6
1,2023:02:06 18:51:18,325.8
2,2023:02:06 18:51:18,531.2
3,2023:02:06 18:51:18,355.5
4,2023:02:06 18:51:18,180.1
5,2023:02:06 18:51:18,257.8
1,2023:02:06 18:54:38,42.1
2,2023:02:06 18:54:38,347.7
3,2023:02:06 18:54:38,137.4
4,2023:02:06 18:54:38,444.3
5,2023:02:06 18:54:38,551.3
1,2023:02:06 18:57:58,383.2
2,2023:02:06 18:57:58,418.5
3,2023:02:06 18:57:58,366.4
4,2023:02:06 18:57:58,474.8
5,2023:02:06 18:57:58,288.1
1,2023:02:06 19:01:18,168.7
2,2023:02:06 19:01:18,544.0
3,2023:02:06 19:01:18,239.8
4,2023:02:06 19:01:18,523.8
5,2023:02:06 19:01:18,249.2
1,2023:02:06 19:04:38,555.7
2,2023:02:06 19:04:38,309.4
3,2023:02:06 19:04:38,250.1
4,2023:02:06 19:04:38,344.8
5,2023:02:06 19:04:38,456.1
1,2023:02:06 19:07:58,586.6
2,2023:02:06 19:07:58,489.1
3,2023:02:06 19:07:58,459.8
4,2023:02:06 19:07:58,25.0
5,2023:02:06 19:07:58,486.2
1,2023:02:06 19:11:18,274.6
2,2023:02:06 19:11:18,84.4
3,2023:02:06 19:11:18,287.3
4,2023:02:06 19:11:18,204.8
5,2023:02:06 19:11:18,201.6
1,2023:02:06 19:14:38,513.0
2,2023:02:06 19:14:38,434.1
3,2023:02:06 19:14:38,221.4
4,2023:02:06 19:14:38,584.1
5,2023:02:06 19:14:38,277.2
1,2023:02:06 19:17:58,485.2
2,2023:02:06 19:17:58,52.0
3,2023:02:06 19:17:58,52.7
4,2023:02:06 19:17:58,212.1
5,2023:02:06 19:17:58,158.2
1,2023:02:06 19:21:18,314.5
2,2023:02:06 19:21:18,230.6
3,2023:02:06 19:21:18,586.7
4,2023:02:06 19:21:18,130.8
5,2023:02:06 19:21:18,436.7
1,2023:02:06 19:24:38,300.1
2,2023:02:06 19:24:38,93.5
3,2023:02:06 19:24:38,191.4
